Emp.No,Name,Retirement,Sex,Age,Tenure,Hiring.Source,University,Univ.GPA,Education.Level,Biz.Location,Job.Family,Team,Is.Manager,OverTime,Performance.Score,Unused.Vacation,Cognitive.Score,Endurance.Score,Execution.Score,Manager.Vision,Manager.Communication,Manager.Execution,Engagement.Score,Sales.Amount
4006,John1,No,Male,39,19.5,Job Board,YALE UNIVERSITY,76.22,Bachelor,USA,Manufacturing,Marketing,No,213,42.4,14,80,79,94,92,73,39,67.4,NA
3337,Jane2,No,Female,33,17.9,Job Board,UNIVERSITY OF HONG KONG,88.25,Master,Tokyo,Marketing,Tech Support,No,324,49.9,9,74,99,82,0,10,32,35.1,163680
2543,John3,No,Male,46,27,Special,STANFORD UNIVERSITY,87.67,Bachelor,Singapore,Manufacturing,Manufacturing,No,192,40,22,97,67,86,26,32,48,48.2,NA
3999,John4,No,Male,39,19.9,Job Board,PEKING UNIVERSITY,86.67,Master,Amsterdam,Marketing,Biz Dev,No,20,51.8,14,78,94,87,34,54,37,55,88466
1365,John5,Yes,Male,32,13.9,Job Board,KYOTO UNIVERSITY,80.7,Bachelor,USA,Administration,Human Resources,No,201,32.6,22,99,87,89,81,11,42,46.4,NA
1291,John6,Yes,Male,36,18.4,Job Board,STANFORD UNIVERSITY,73.56,HighSchool,Seoul,Research,Tech Support,No,283,71.3,10,73,79,93,26,17,14,40.3,NA
5531,Jane7,No,Female,28,13.7,Intern,MCGILL UNIVERSITY,97.11,Master,Seoul,Administration,Manufacturing,No,1,33.5,16,77,71,84,36,17,4,42.4,NA
2767,Jane8,No,Female,45,30.4,Special,MIT,68.22,Doctor,Seoul,Manufacturing,Tech Support,No,152,64.3,9,92,100,77,11,12,11,39.4,NA
2815,John9,No,Male,41,24.3,Intern,YALE UNIVERSITY,86,Master,Tokyo,Manufacturing,Manufacturing,No,241,38.2,13,86,92,91,29,21,14,44.4,NA
2884,Jane10,No,Female,44,29.2,Job Board,THE UNIVERSITY OF TOKYO,80.23,Bachelor,Singapore,Manufacturing,Marketing,No,153,41.3,4,88,97,80,93,74,47,67.1,NA
4010,John11,No,Male,46,23.4,Special,UNIVERSITY OF OXFORD,67.56,Bachelor,Amsterdam,Manufacturing,Biz Dev,No,194,31.3,12,82,74,62,44,35,19,51.5,NA
1196,John12,No,Male,29,17.8,Job Board,OSAKA UNIVERSITY,75.56,Bachelor,Tokyo,Marketing,Manufacturing,Yes,54,40.9,16,85,87,90,12,18,9,40.2,63905
4785,John13,No,Male,26,11.7,Job Board,STOCKHOLM UNIVERSITY,89.33,Master,Amsterdam,Research,Biz Dev,No,158,26.3,13,68,83,98,21,40,23,48.2,NA
4573,John14,No,Male,33,14.9,Job Board,SOGANG UNIVERSITY,73.11,Bachelor,Singapore,Manufacturing,Legal,No,193,38.2,8,73,89,62,50,29,100,55.8,NA
4937,Jane15,No,Female,41,23.2,Special,STANFORD UNIVERSITY,77.56,Bachelor,Shanghai,Manufacturing,Manufacturing,No,205,25.6,10,83,71,70,29,31,37,46.6,NA
5269,John16,No,Male,42,25.1,Special,KYOTO UNIVERSITY,76.89,Bachelor,USA,Marketing,Tech Support,No,13,45,14,88,93,85,32,6,26,41,73456
4132,John17,No,Male,41,23,Special,HARVARD UNIVERSITY,88.89,2-Year College,Tokyo,Research,Manufacturing,No,101,41.9,12,78,89,96,28,24,34,42.8,NA
5341,John18,No,Male,47,27.4,Job Board,KYOTO UNIVERSITY,69.11,Bachelor,Shanghai,Marketing,Quality Assurance,No,57,47.9,8,100,84,93,52,57,38,46.7,41679
4120,John19,No,Male,36,13.2,Job Board,STANFORD UNIVERSITY,94.89,Doctor,USA,Marketing,Human Resources,No,48,26.9,21,97,66,70,82,84,44,63.2,56078
372,Jane20,No,Female,35,18.8,Job Board,MIT,62.5,Bachelor,Seoul,Marketing,Marketing,No,62,76.5,9,84,87,63,70,74,52,62.9,154910
1859,Jane21,No,Female,39,22,Job Board,NAGOYA UNIVERSITY,87.11,Doctor,Tokyo,Marketing,Manufacturing,No,20,54,13,87,80,83,36,33,69,51.6,66066
3064,John22,No,Male,40,21.5,Job Board,THE UNIVERSITY OF TOKYO,76.89,HighSchool,Singapore,Manufacturing,Marketing,No,153,52.1,4,84,83,90,95,72,33,68.2,NA
4917,Jane23,No,Female,47,28.5,Job Board,OSAKA UNIVERSITY,90.89,Bachelor,Tokyo,Administration,Marketing,No,31,43.9,2,68,98,84,94,72,1,59.4,NA
3014,John24,Yes,Male,31,12.4,Job Board,PRINCETON UNIVERSITY,90,Doctor,Shanghai,Research,Manufacturing,No,191,34.9,7,71,71,82,36,6,23,37.9,NA
4705,John25,No,Male,31,20.9,Job Board,KYOTO UNIVERSITY,85.78,Bachelor,Seoul,Research,Biz Dev,Yes,382,84.6,16,83,88,84,37,36,13,57.3,NA
3146,John26,No,Male,40,28.6,Job Board,KYOTO UNIVERSITY,81.33,Bachelor,Tokyo,Marketing,Tech Support,Yes,52,49.1,13,100,92,97,19,11,3,35.6,80746
154,John27,No,Male,42,21.8,Job Board,OSAKA UNIVERSITY,87.67,Bachelor,Amsterdam,Manufacturing,Biz Dev,No,205,46,3,92,95,79,49,42,13,50.2,NA
1906,John28,No,Male,42,22.1,Job Board,THE UNIVERSITY OF TOKYO,71.33,Bachelor,Tokyo,Administration,Marketing,No,8,63.1,11,83,86,96,92,73,32,65.8,NA
3027,John29,No,Male,38,24.3,Job Board,KYOTO UNIVERSITY,86.44,2-Year College,Tokyo,Marketing,Marketing,No,29,29.1,12,85,98,78,90,71,36,64,107024
3323,John30,No,Male,43,23.8,Job Board,UNIVERSITY OF PENNSYLVANIA,81.33,Bachelor,Tokyo,Manufacturing,Biz Dev,No,153,45.1,10,92,81,74,48,39,14,51.8,NA
3893,John31,No,Male,37,18.8,Job Board,STANFORD UNIVERSITY,73.72,Bachelor,Shanghai,Administration,Quality Assurance,No,54,32.6,10,75,83,69,32,36,38,46.2,NA
1342,Jane32,No,Female,36,29.4,Overseas,UNIVERSITY OF CAMBRIDGE,77.33,2-Year College,USA,Marketing,Quality Assurance,Yes,95,45.3,12,95,98,62,49,44,40,45.2,172416
2953,Jane33,No,Female,36,23.7,Job Board,OSAKA UNIVERSITY,76,Master,Tokyo,Manufacturing,Tech Support,No,152,38.1,13,78,87,88,32,16,23,43,NA
3256,John34,No,Male,40,19.9,Special,UNIVERSITY OF HONG KONG,71.33,Bachelor,Tokyo,Manufacturing,Finance,No,202,26.9,31,84,66,71,30,25,78,54.6,NA
4652,John35,No,Male,28,9.9,Intern,OSAKA UNIVERSITY,85.33,Bachelor,Tokyo,Manufacturing,Finance,No,241,58.3,19,75,100,63,33,46,76,63.4,NA
4484,John36,No,Male,36,15.5,Intern,PEKING UNIVERSITY,75.33,Bachelor,Shanghai,Manufacturing,Marketing,No,176,47.2,11,93,90,95,89,75,17,65.1,NA
4859,John37,No,Male,33,14.4,Job Board,KYOTO UNIVERSITY,66,Master,Shanghai,Administration,Marketing,No,303,42.3,9,77,94,66,72,74,21,63.5,NA
3770,John38,No,Male,45,22.4,Special,KYOTO UNIVERSITY,76.89,Master,Singapore,Research,Quality Assurance,No,78,44.4,4,72,69,87,26,49,27,50.4,NA
2466,John39,No,Male,44,25.2,Job Board,UNIVERSITY OF SUSSEX,86.74,Bachelor,Shanghai,Research,Tech Support,No,129,52.2,10,96,67,88,26,16,10,39,NA
1244,John40,No,Male,35,17.1,Job Board,CORNELL UNIVERSITY,70,Doctor,Singapore,Manufacturing,Manufacturing,No,158,45.4,3,100,91,66,40,25,38,50.5,NA
548,John41,No,Male,46,23.1,Job Board,STANFORD UNIVERSITY,60.67,Bachelor,Tokyo,Administration,Marketing,No,77,39.9,12,68,72,97,89,75,33,64.2,NA
818,Jane42,No,Female,28,14.3,Job Board,KYOTO UNIVERSITY,82.22,Master,Amsterdam,Administration,Human Resources,No,175,48.1,4,90,81,79,56,86,8,59.3,NA
4440,Jane43,No,Female,28,12.5,Job Board,SEOUL NATIONAL UNIVERSITY,80,Bachelor,Shanghai,Research,Tech Support,No,21,54.4,5,84,98,88,20,9,2,34.5,NA
3839,Jane44,No,Female,48,42.4,Job Board,DUKE UNIVERSITY,80.89,Master,Tokyo,Research,Tech Support,Yes,85,54.9,7,84,90,98,24,15,38,46.5,NA
4653,Jane45,No,Female,30,16.8,Job Board,PRINCETON UNIVERSITY,80.67,Master,Tokyo,Marketing,Marketing,No,20,33.8,7,68,80,63,92,73,21,60.4,35681
557,John46,No,Male,36,18.6,Job Board,UNIVERSITY OF CHICAGO,66.67,2-Year College,Singapore,Marketing,Manufacturing,No,100,42.5,6,70,98,70,5,39,49,44.9,87920
942,John47,No,Male,32,22.7,Overseas,UNIVERSITY OF TORONTO,80,Bachelor,Tokyo,Manufacturing,Quality Assurance,Yes,226,52.2,10,71,90,63,5,49,50,56.3,NA
4148,John48,No,Male,38,17,Special,UNIVERSITY OF OXFORD,62.67,Master,USA,Research,Marketing,No,91,55.8,10,92,75,80,95,75,25,63.2,NA
2819,John49,No,Male,40,20.6,Job Board,STANFORD UNIVERSITY,70.89,HighSchool,Shanghai,Manufacturing,Tech Support,No,186,45.9,1,95,85,77,19,14,35,44.5,NA
4139,John50,No,Male,48,28.1,Job Board,MIT,76,Bachelor,Seoul,Manufacturing,Biz Dev,No,510,59.2,10,88,79,75,76,44,13,54.8,NA
284,John51,No,Male,33,12.9,Job Board,SEOUL NATIONAL UNIVERSITY,76.67,Master,Shanghai,Manufacturing,Tech Support,No,455,40.3,16,68,94,76,1,5,16,39.4,NA
1259,John52,Yes,Male,34,15.3,Job Board,THE UNIVERSITY OF TOKYO,81.11,2-Year College,Singapore,Manufacturing,Tech Support,No,370,39.3,14,95,87,72,17,25,40,38.3,NA
4502,John53,No,Male,48,26.9,Special,STANFORD UNIVERSITY,87.67,2-Year College,Tokyo,Manufacturing,Tech Support,No,291,32.2,11,90,99,82,24,14,24,42.9,NA
374,John54,No,Male,50,30.7,Special,PEKING UNIVERSITY,77.78,Doctor,USA,Research,Biz Dev,No,57,43.9,4,96,93,68,23,35,54,47.8,NA
2072,John55,No,Male,43,23.7,Job Board,HARVARD UNIVERSITY,76,Bachelor,Singapore,Manufacturing,Marketing,No,252,61.6,11,98,82,76,91,76,47,68.1,NA
